trait,celltype,zscore,pval
MSCV,mDC,-2.1081,0.0077
Neutrophill_perc,mDC,0.2682,0.4042
PDW,mDC,-0.5113,0.1577
Platelet_count,mDC,-1.9573,0.0111
Plateletcrit,mDC,-2.092,0.008
RBC_count,mDC,-2.5726,0.0022
RDW,mDC,-2.5124,0.0026
Reticulocyte_perc,mDC,-0.9308,0.0841
WBC_count,mDC,0.9296,0.7538
Basophill_perc,Mega,-1.5087,0.0295
Eosinophill_perc,Mega,-1.193,0.0538
Haemoglobin,Mega,0.3088,0.4217
HLR_perc,Mega,3.5953,3.7904
Lymphocyte_perc,Mega,-1.021,0.0724
MCV,Mega,1.4176,1.107
Monocyte_perc,Mega,-0.3258,0.2022
MSCV,Mega,1.1357,0.8927
Neutrophill_perc,Mega,-0.3918,0.1855
PDW,Mega,6.0254,9.074
Platelet_count,Mega,5.4055,7.4905
Plateletcrit,Mega,4.0415,4.5758
RBC_count,Mega,1.2571,0.9815
RDW,Mega,1.5357,1.2055
Reticulocyte_perc,Mega,3.7968,4.1349
WBC_count,Mega,0.4243,0.4741
Basophill_perc,MEP,2.2376,1.8988
Eosinophill_perc,MEP,1.5342,1.2042
Haemoglobin,MEP,6.7023,10.989
HLR_perc,MEP,6.9409,11.7104
Lymphocyte_perc,MEP,1.2785,0.9976
MCV,MEP,7.7108,14.2042
Monocyte_perc,MEP,1.3572,1.0587
MSCV,MEP,6.0719,9.1992
Neutrophill_perc,MEP,1.1848,0.928
PDW,MEP,5.1029,6.7766
Platelet_count,MEP,6.1931,9.5303
Plateletcrit,MEP,5.3575,7.3747
RBC_count,MEP,8.5241,17.1136
RDW,MEP,7.6394,13.9623
Reticulocyte_perc,MEP,5.7475,8.344
WBC_count,MEP,2.564,2.2862
Basophill_perc,mono,2.6354,2.3765
Eosinophill_perc,mono,2.1968,1.8534
Haemoglobin,mono,0.7109,0.6224
HLR_perc,mono,1.0465,0.8307
Lymphocyte_perc,mono,1.2877,1.0047
MCV,mono,0.525,0.5232
Monocyte_perc,mono,3.7654,4.0802
MSCV,mono,-0.5146,0.157
Neutrophill_perc,mono,2.7402,2.5128
PDW,mono,-0.8849,0.0905
Platelet_count,mono,-0.7944,0.1043
Plateletcrit,mono,-0.9411,0.0827
RBC_count,mono,-0.1068,0.2656
RDW,mono,-0.3744,0.1898
Reticulocyte_perc,mono,1.1812,0.9254
WBC_count,mono,2.7822,2.5687
Basophill_perc,MPP,0.3947,0.4603
Eosinophill_perc,MPP,-1.0783,0.0657
Haemoglobin,MPP,0.2243,0.3859
HLR_perc,MPP,-2.0055,0.0099
Lymphocyte_perc,MPP,-0.2824,0.2138
MCV,MPP,-1.3154,0.043
Monocyte_perc,MPP,0.8735,0.7185
MSCV,MPP,-1.2551,0.048
Neutrophill_perc,MPP,-1.7365,0.0183
PDW,MPP,1.1579,0.9085
Platelet_count,MPP,1.6251,1.2834
Plateletcrit,MPP,2.3034,1.9735
RBC_count,MPP,-0.9398,0.0828
RDW,MPP,-0.6895,0.1222
Reticulocyte_perc,MPP,-1.7983,0.016
WBC_count,MPP,-1.1252,0.0606
Basophill_perc,NK,-1.7815,0.0166
Eosinophill_perc,NK,-0.4444,0.1729
Haemoglobin,NK,-2.4224,0.0034
HLR_perc,NK,-2.5577,0.0023
Lymphocyte_perc,NK,-1.8502,0.0142
MCV,NK,-2.5681,0.0022
Monocyte_perc,NK,-3.1463,0.0004
MSCV,NK,-2.1987,0.0061
Neutrophill_perc,NK,-1.1477,0.0583
PDW,NK,-2.7531,0.0013
Platelet_count,NK,-3.327,0.0002
Plateletcrit,NK,-3.4607,0.0001
RBC_count,NK,-2.6289,0.0019
RDW,NK,-3.5961,0.0001
Reticulocyte_perc,NK,-2.6084,0.002
WBC_count,NK,-3.1617,0.0003
Basophill_perc,pDC,-1.3513,0.0401
Eosinophill_perc,pDC,-2.5406,0.0024
Haemoglobin,pDC,-3.2509,0.0002
HLR_perc,pDC,-2.2511,0.0053
Lymphocyte_perc,pDC,-0.8106,0.1017
MCV,pDC,-2.5185,0.0026
Monocyte_perc,pDC,-0.6096,0.1373
MSCV,pDC,-2.3161,0.0045
Neutrophill_perc,pDC,-1.3255,0.0422
PDW,pDC,-2.5125,0.0026
Platelet_count,pDC,-3.0403,0.0005
Plateletcrit,pDC,-3.0497,0.0005
RBC_count,pDC,-3.7816,0
RDW,pDC,-2.7412,0.0013
Reticulocyte_perc,pDC,-1.4426,0.0337
WBC_count,pDC,-1.1222,0.0609
